name,itemType,vegetarian,vegan,dairy,gluten,egg,peanuts,seeds,soy,garlic,onion,honey,shellfish,gelatin,alcohol,halal,keto,lowFODMAP,dash,lowCarb,description
Caviar Reserve,Starters & Salads,2,2,1,1,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,Sfera Caviar - Osetra 30g or Beluga 50g.
Oysters,Starters & Salads,2,2,0,0,0,0,0,0,0,2,0,2,0,1,0,0,0,0,0,"Daily selection oysters served with peach chardonnay mignonette, fresh horseradish, and lemon."
Jumbo Shrimp Cocktail ,Starters & Salads,2,2,0,0,0,0,0,0,2,2,0,2,0,0,0,2,2,0,2,Jumbo shrimp cocktail with house cocktail sauce and chives.
Hamachi Crudo,Starters & Salads,2,2,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,"Yellowtail sashimi with avocado, yuzu, and jalapeno."
Ahi Tuna Carpaccio ,Starters & Salads,2,2,0,2,2,0,0,0,2,2,0,0,0,0,0,2,2,2,2,"Ahi tuna carpaccio with truffle aioli, parsley, and chive pangrattato."
Foie Terrine,Starters & Salads,2,2,2,0,0,2,0,0,0,0,0,0,2,2,0,0,0,0,0,"Foie terrine with chicken liver mousse, port gelée, and toasted brioche."
Beef Tartare,Starters & Salads,2,2,2,2,2,0,0,2,0,2,0,0,0,0,0,2,0,0,2,"Beef tartare with cornichons, chive, shallot, dijon mustard, aioli, lemon crème fraîche, caviar, and toasted bread."
Caviar Dip,Starters & Salads,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Caviar dip with potato pave, sour cream, chives, and dill."
Crispy Rock Shrimp,Starters & Salads,2,2,0,2,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,"Crispy rock shrimp with sumac, lemon-chili aioli, and cilantro."
Wagyu Sliders,Starters & Salads,2,2,2,2,2,0,2,0,2,2,0,0,0,0,0,0,0,0,0,"Wagyu sliders with secret sauce, onion, pickles, and American cheese."
Sizzling shrimp,Starters & Salads,2,2,2,2,0,0,0,0,2,2,0,2,0,2,0,0,0,0,0,"Sizzling shrimp with garlic butter, chili, and lime."
Mediterranian Salad,Starters & Salads,0,0,2,0,0,0,0,0,2,2,2,0,0,0,0,2,2,2,2,"Mediterranean salad with barrel-aged Greek feta, iceberg lettuce, cucumber, olives, and dill vinaigrette."
Straccitella Salad,Starters & Salads,0,0,2,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,"Stracciatella salad with creamy stracciatella, heirloom tomatoes, and basil."
