name,itemType,gluten,vegan,vegetarian,sesame,soy,fish,shellfish,dairy,egg,treeNuts,peanuts,wheat,legumes,garlic,mustard,halal,keto,lowFODMAP,dash,lowCarb,description
Ultimate Game Time Pretzel,Warm-Up,2,0,0,0,0,0,0,1,1,0,0,2,0,1,1,0,2,2,2,2,Classic soft salted pretzel served with grainy mustard aioli. 10
Ahi Tuna Stack,Warm-Up,1,2,2,0,2,2,0,0,1,0,0,0,0,2,0,0,0,2,1,0,"Diced ahi tuna, avocado, cucumbers, green onions, wonton crisps, and citrus vinaigrette. 19½"
Calamari,Warm-Up,2,2,2,0,0,2,2,1,1,0,0,2,0,1,1,2,1,1,2,0,Lightly dusted calamari with garlic aioli. 17
Tuna Tostada,Warm-Up,0,2,2,1,2,2,0,0,2,0,0,0,0,2,0,0,2,2,2,2,"House tortilla chips, mango ginger sauce, Ahi tuna, avocado crema, pickled onion & micro cilantro. 19"
Spiced Cauliflower Tacos,Warm-Up,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,2,2,2,"Flour tortillas, tajin spiced cauliflower, avocado & jalapeño crema, feta, pickled red onion & cilantro. 17"
Kung Pao Lettuce Wraps,Warm-Up,1,2,2,1,2,0,0,0,1,1,0,1,0,2,0,2,1,1,1,1,"Szechuan-style chicken, cashews, crisp wontons, green onions, and cilantro tossed in a sweet chili sauce. 22"
Spinach Dip,Warm-Up,2,2,2,0,2,0,0,2,0,0,0,2,0,2,0,2,2,2,2,2,"Freshly baked bread, spinach dip, gem tomatoes, chili oil. 18"
Garlic Truffle Parm Fries,Warm-Up,0,1,1,0,0,0,0,1,1,0,0,0,0,1,0,0,2,2,2,2,"Fresh-cut fries, garlic truffle oil, fresh thyme and parsley. 13"
Sweet Potato Fries With Garlic Aioli,Warm-Up,0,1,1,0,0,0,0,1,1,0,0,0,0,1,0,0,2,2,2,2, 9½
The G.O.A.T. Cheese Salad,Salads & Bowls,2,2,0,0,0,0,0,2,0,1,0,2,0,2,2,2,2,2,0,2,"Goat cheese wrapped in phyllo pastry, heirloom gem tomatoes, poached pear, red onion, crisp greens, balsamic dressing and spicy pecans. 23"
San Antonio Chicken Salad,Salads & Bowls,0,2,1,0,2,0,0,2,1,0,0,0,1,2,0,2,1,0,0,0,"Roasted chicken, black bean salsa, black rice, avocado, roasted corn, garlic ranch dressing & tortilla strips. 24"
Grilled Tahini Caesar Salad,Salads & Bowls,1,2,2,2,2,2,0,2,2,0,0,1,0,2,0,2,0,0,0,0,"Grilled romaine lettuce, sun-dried tomatoes, parmesan, roasted maitake mushrooms, and micro basil. 17"
Chimichurri Steak Salad,Salads & Bowls,0,2,2,0,2,0,0,1,0,0,0,0,0,2,0,0,1,2,1,1,"Romaine, radicchio, arugula, heirloom gem tomatoes, tossed in a chimichurri vinaigrette, with fingerling potatoes, pickled green beans and feta. 25"
Single / Double,Courtside Wings,1,2,2,0,0,0,0,1,0,0,0,0,0,2,0,0,2,2,2,2,"1 or 2 LBS of our wings, with a choice of sauce, and ranch dip. 19/35"
Brooklyn Burger,Hand Helds,1,2,2,0,0,0,0,1,1,0,0,1,0,2,0,2,2,2,2,2,"Fresh ground double patties, sauteed mushrooms, caramelized onion, American cheese & crispy onion ring. 23"
Blackened Chicken Sandwhich,Hand Helds,1,2,2,0,0,0,0,1,1,0,0,1,0,2,0,2,2,2,2,2,"Artisan greens, fresh avocado, tomato & garlic aioli served on sourdough bread. 21"
Courtside Burger,Hand Helds,1,2,2,0,0,0,0,1,2,0,0,1,0,2,0,2,2,2,2,2,"Our fresh ground double patties, lettuce, tomato, red onion, and pickle. 21"
